Term,Rownumber,A,B,C
L0,0,175347046,0,0
L0,1,3341656,4.6692568,6283.07585
L0,2,34894,4.6261,12566.1517
L0,3,3497,2.7441,5753.3849
L0,4,3418,2.8289,3.5231
L0,5,3136,3.6277,77713.7715
L0,6,2676,4.4181,7860.4194
L0,7,2343,6.1352,3930.2097 
L0,8,1324,0.7425,11506.7698
L0,9,1273,2.0371,529.691
L0,10,1199,1.1096,1577.3435
L0,11,990,5.233,5884.927
L0,12,902,2.045,26.298
L0,13,857,3.508,398.149
L0,14,780,1.179,5223.694
L0,15,753,2.533,5507.553
L0,16,505,4.583,18849.228
L0,17,492,4.205,775.523
L0,18,357,2.92,0.067
L0,19,317,5.849,11790.629
L0,20,284,1.899,796.298
L0,21,271,0.315,10977.079
L0,22,243,0.345,5486.778
L0,23,206,4.806,2544.314
L0,24,205,1.869,5573.143
L0,25,202,2.4458,6069.777
L0,26,156,0.833,213.299
L0,27,132,3.411,2942.463
L0,28,126,1.083,20.775
L0,29,115,0.645,0.98
L0,30,103,0.636,4694.003
L0,31,102,0.976,15720.839
L0,32,102,4.267,7.114
L0,33,99,6.21,2146.17
L0,34,98,0.68,155.42
L0,35,86,5.98,161000.69
L0,36,85,1.3,6275.96
L0,37,85,3.67,71430.7
L0,38,80,1.81,17260.15
L0,39,79,3.04,12036.46
L0,40,71,1.76,5088.63
L0,41,74,3.5,3154.69
L0,42,74,4.68,801.82
L0,43,70,0.83,9437.76
L0,44,62,3.98,8827.39
L0,45,61,1.82,7084.9
L0,46,57,2.78,6286.6
L0,47,56,4.39,14143.5
L0,48,56,3.47,6279.55
L0,49,52,0.19,12139.55
L0,50,52,1.33,1748.02
L0,51,51,0.28,5856.48
L0,52,49,0.49,1194.45
L0,53,41,5.37,8429.24
L0,54,41,2.4,19651.05
L0,55,39,6.17,10447.39
L0,56,37,6.04,10213.29
L0,57,37,2.57,1059.38
L0,58,36,1.71,2352.87
L0,59,36,1.78,6812.77
L0,60,33,0.59,17789.85
L0,61,30,0.44,83996.85
L0,62,30,2.74,1349.87
L0,63,25,3.16,4690.48
