Term,Row,number,A,B,C,
L0,0,175347046,0,0,,
,1,3341656,4.6692568,6283.07585,,
,2,34894,4.6261,12566.1517,,
,3,3497,2.7441,5753.3849,,
,4,3418,2.8289,3.5231,,
,5,3136,3.6277,77713.7715,,
,6,2676,4.4181,7860.4194,,
,7,2343,6.1352,3930.2097,, 
,8,1324,0.7425,11506.7698,,
,9,1273,2.0371,529.691,,
,10,1199,1.1096,1577.3435,,
,11,990,5.233,5884.927,,
,12,902,2.045,26.298,,
,13,857,3.508,398.149,,
,14,780,1.179,5223.694,,
,15,753,2.533,5507.553,,
,16,505,4.583,18849.228,,
,17,492,4.205,775.523,,
,18,357,2.92,0.067,,
,19,317,5.849,11790.629,,
,20,284,1.899,796.298,,
,21,271,0.315,10977.079,,
,22,243,0.345,5486.778,,
,23,206,4.806,2544.314,,
,24,205,1.869,5573.143,,
,25,202,2.4458,6069.777,,
,26,156,0.833,213.299,,
,27,132,3.411,2942.463,,
,28,126,1.083,20.775,,
,29,115,0.645,0.98,,
,30,103,0.636,4694.003,,
,31,102,0.976,15720.839,,
,32,102,4.267,7.114,,
,33,99,6.21,2146.17,,
,34,98,0.68,155.42,,
,35,86,5.98,161000.69,,
,36,85,1.3,6275.96,,
,37,85,3.67,71430.7,,
,38,80,1.81,17260.15,,
,39,79,3.04,12036.46,,
,40,71,1.76,5088.63,,
,41,74,3.5,3154.69,,
,42,74,4.68,801.82,,
,43,70,0.83,9437.76,,
,44,62,3.98,8827.39,,
,45,61,1.82,7084.9,,
,46,57,2.78,6286.6,,
,47,56,4.39,14143.5,,
,48,56,3.47,6279.55,,
,49,52,0.19,12139.55,,
,50,52,1.33,1748.02,,
,51,51,0.28,5856.48,,
,52,49,0.49,1194.45,,
,53,41,5.37,8429.24,,
,54,41,2.4,19651.05,,
,55,39,6.17,10447.39,,
,56,37,6.04,10213.29,,
,57,37,2.57,1059.38,,
,58,36,1.71,2352.87,,
,59,36,1.78,6812.77,,
,60,33,0.59,17789.85,,
,61,30,0.44,83996.85,,
,62,30,2.74,1349.87,,
,63,25,3.16,4690.48,,
L1,0,6.28332E+11,0,0,,
,1,206059,2.678235,6283.07585,,
,2,4303,2.6351,12566.1517,,
,3,425,1.59,3.523,,
,4,119,5.796,26.298,,
,5,109,2.966,1577.344,,
,6,93,2.59,18849.23,,
,7,72,1.14,529.69,,
,8,68,1.87,398.15,,
,9,67,4.41,5507.55,,
,10,59,2.89,5223.69,,
,11,56,2.17,155.42,,
,12,45,0.4,796.3,,
,13,36,0.47,775.52,,
,14,29,2.65,7.11,,
,15,21,5.34,0.98,,
,16,19,1.85,5486.78,,
,17,19,4.97,213.3,,
,18,17,2.99,6275.96,,
,19,16,0.03,2544.31,,
,20,16,1.43,2146.17,,
,21,15,1.21,10977.08,,
,22,12,2.83,1748.02,,
,23,12,3.26,5088.63,,
,24,12,5.27,1194.45,,
,25,12,2.08,4694,,
,26,11,0.77,553.57,,
,27,10,1.3,3286.6,,
,28,10,4.24,1349.87,,
,29,9,2.7,242.73,,
,30,9,5.64,951.72,,
,31,8,5.3,2352.87,,
,32,6,2.65,9437.76,,
,33,6,4.67,4690.48,,
