ahargana,longitude
1242000,117.34875996389006
1242005,122.1420917652082
1242010,126.94678461717892
1242015,131.763751807002
1242020,136.59381610803064
1242025,141.4377035782073
1242030,146.29603806749483
1242035,151.16933648003908
1242040,156.0580048367873
1242045,160.9623351744208
1242050,165.88250331029298
1242055,170.8185674949562
1242060,175.77046796541165
1242065,180.73802740345695
1242070,185.72095229464358
1242075,190.71883517476482
1242080,195.731157741189
1242085,200.75729480189997
1242090,205.79651902201607
1242095,210.84800642688006
1242100,215.91084261171304
1242105,220.98402960428845
1242110,226.06649332312938
1242115,231.15709157081758
1242120,236.2546224998767
1242125,241.35783348725244
1242130,246.4654303525312
1242135,251.57608685475242
1242140,256.6884544013184
1242145,261.80117190607785
1242150,266.912875727792
1242155,272.0222096262028
1242160,277.1278346693721
1242165,282.22843902710633
1242170,287.32274758503155
1242175,292.40953131382986
1242180,297.4876163282115
1242185,302.55589257048524
1242190,307.6133220544034
1242195,312.6589466049213
1242200,317.6918950347943
1242205,322.711389695556
1242210,327.7167523496343
1242215,332.707409311058
1242220,337.68289580853326
1242225,342.64285953054724
1242230,347.5870633190426
1242235,352.51538698582823
1242240,357.42782823409647
1242245,2.324502676039999
1242250,7.2056429465573055
1242255,12.071596920741403
1242260,16.92282505488233
1242265,21.759896873267046
1242270,26.583486636382272
1242275,31.39436822963555
1242280,36.19340931892847
1242285,40.98156482443629
1242290,45.75986976821138
1242295,50.5294315545935
1242300,55.29142174493919
1242305,60.04706739012626
1242310,64.79764198434263
1242315,69.54445610764812
1242320,74.28884781956991
1242325,79.03217287159089
1242330,83.77579480302023
1242335,88.5210749857634
1242340,93.26936268330368
1242345,98.02198518922118
1242350,102.78023811064139
1242355,107.54537586208173
1242360,112.31860243517575
1242365,117.10106250975957
1242370,121.89383297024982
1242375,126.69791489371833
1242380,131.51422606909154
1242385,136.34359411036556
1242390,141.18675022051016
1242395,146.04432366009456
1242400,150.91683696984657
1242405,155.80470199077763
1242410,160.70821671904895
1242415,165.62756302550596
1242420,170.56280526205245
1242425,175.5138897674606
1242430,180.48064527991022
1242435,185.46278424894726
1242440,190.45990503652172
1242445,195.47149498485967
1242450,200.49693432209983
1242455,205.535500869144
1242460,210.5863755046397
