ahargana,mean_long,true_long (na),vakya, x, m, s, t, f
1753978.035911,5.767633,7.814176,-0.185824=[-0.0, 0.0, 11.0, 8.0, 58.0, 1.0]
1753986.035911,13.652455,15.589644,-0.224532=[-0.0, 0.0, 13.0, 28.0, 18.0, 56.0]
1753994.035911,21.537278,23.328478,-0.261165=[-0.0, 0.0, 15.0, 40.0, 11.0, 42.0]
1754002.035911,29.422101,31.033448,-0.295030=[-0.0, 0.0, 17.0, 42.0, 6.0, 34.0]
1754008.960968,36.247457,37.678385,-0.321615=[-0.0, 0.0, 19.0, 17.0, 48.0, 50.0]
1754016.960968,44.132280,45.329729,-0.348656=[-0.0, 0.0, 20.0, 55.0, 9.0, 42.0]
1754024.960968,52.017103,52.958450,-0.371279=[-0.0, 0.0, 22.0, 16.0, 36.0, 21.0]
1754032.960968,59.901926,60.569389,-0.389060=[-0.0, 0.0, 23.0, 20.0, 37.0, 2.0]
1754040.361944,67.196349,67.599093,-0.400907=[-0.0, 0.0, 24.0, 3.0, 15.0, 53.0]
1754048.361944,75.081172,75.190581,-0.408512=[-0.0, 0.0, 24.0, 30.0, 38.0, 36.0]
1754056.361944,82.965995,82.780003,-0.410578=[-0.0, 0.0, 24.0, 38.0, 4.0, 50.0]
1754064.361944,90.850818,90.372937,-0.407066=[-0.0, 0.0, 24.0, 25.0, 26.0, 15.0]
1754071.969189,98.348540,97.601389,-0.398611=[-0.0, 0.0, 23.0, 55.0, 0.0, 2.0]
1754079.969189,106.233363,105.216888,-0.384500=[-0.0, 0.0, 23.0, 4.0, 12.0, 4.0]
1754087.969189,114.118186,112.851589,-0.365299=[-0.0, 0.0, 21.0, 55.0, 4.0, 38.0]
1754095.969189,122.003008,120.510221,-0.341368=[-0.0, 0.0, 20.0, 28.0, 55.0, 27.0]
1754103.437094,129.363397,127.684845,-0.315155=[-0.0, 0.0, 18.0, 54.0, 33.0, 26.0]
1754111.437094,137.248220,135.401421,-0.283424=[-0.0, 0.0, 17.0, 0.0, 19.0, 40.0]
1754119.437094,145.133043,143.152915,-0.248505=[-0.0, 0.0, 14.0, 54.0, 37.0, 8.0]
1754127.437094,153.017866,150.941858,-0.211058=[-0.0, 0.0, 12.0, 39.0, 48.0, 25.0]
1754134.471824,159.951316,157.823400,-0.176600=[-0.0, 0.0, 10.0, 35.0, 45.0, 40.0]
1754142.471824,167.836139,165.687052,-0.136348=[-0.0, 0.0, 8.0, 10.0, 51.0, 8.0]
1754150.471824,175.720961,173.591358,-0.095693=[-0.0, 0.0, 5.0, 44.0, 29.0, 47.0]
1754158.471824,183.605784,181.535949,-0.055409=[-0.0, 0.0, 3.0, 19.0, 28.0, 19.0]
1754164.928277,189.969284,187.976311,-0.023689=[-0.0, 0.0, 1.0, 25.0, 16.0, 50.0]
1754172.928277,197.854106,195.990313,0.014002=[0.0, 0.0, 0.0, 50.0, 24.0, 30.0]
1754180.928277,205.738929,204.039557,0.049244=[0.0, 0.0, 2.0, 57.0, 16.0, 38.0]
1754188.928277,213.623752,212.120925,0.081369=[0.0, 0.0, 4.0, 52.0, 55.0, 36.0]
1754194.831585,219.442069,218.102718,0.102718=[0.0, 0.0, 6.0, 9.0, 47.0, 8.0]
1754202.831585,227.326892,226.230744,0.128026=[0.0, 0.0, 7.0, 40.0, 53.0, 39.0]
1754210.831585,235.211715,234.379478,0.148734=[0.0, 0.0, 8.0, 55.0, 26.0, 29.0]
1754218.831585,243.096538,242.543931,0.164452=[0.0, 0.0, 9.0, 52.0, 1.0, 44.0]
1754224.340240,248.525883,248.172219,0.172219=[0.0, 0.0, 10.0, 19.0, 59.0, 12.0]
1754232.340240,256.410706,256.351115,0.178897=[0.0, 0.0, 10.0, 44.0, 1.0, 42.0]
1754240.340240,264.295529,264.531137,0.180022=[0.0, 0.0, 10.0, 48.0, 4.0, 45.0]
1754248.340240,272.180352,272.706710,0.175573=[0.0, 0.0, 10.0, 32.0, 3.0, 47.0]
1754253.690841,277.453920,278.169524,0.169524=[0.0, 0.0, 10.0, 10.0, 17.0, 9.0]
1754261.690841,285.338743,286.325533,0.156009=[0.0, 0.0, 9.0, 21.0, 37.0, 56.0]
1754269.690841,293.223565,294.462902,0.137369=[0.0, 0.0, 8.0, 14.0, 31.0, 42.0]
1754277.690841,301.108388,302.576855,0.113953=[0.0, 0.0, 6.0, 50.0, 13.0, 55.0]
1754283.147402,306.486391,308.095465,0.095465=[0.0, 0.0, 5.0, 43.0, 40.0, 21.0]
1754291.147402,314.371214,316.160515,0.065050=[0.0, 0.0, 3.0, 54.0, 10.0, 53.0]
1754299.147402,322.256037,324.191736,0.031221=[0.0, 0.0, 1.0, 52.0, 23.0, 47.0]
1754307.147402,330.140860,332.186353,-0.005384=[-0.0, 0.0, 0.0, 19.0, 22.0, 52.0]
1754312.955802,335.865635,337.966693,-0.033307=[-0.0, 0.0, 1.0, 59.0, 54.0, 22.0]
1754320.955802,343.750458,345.893643,-0.073050=[-0.0, 0.0, 4.0, 22.0, 58.0, 47.0]
1754328.955802,351.635281,353.780050,-0.113592=[-0.0, 0.0, 6.0, 48.0, 55.0, 56.0]
1754336.955802,359.520104,1.625886,-360.154165=[-12.0, 0.0, 9.0, 14.0, 59.0, 35.0]
