jd,theta_na,theta_sa,r
2269089.500000,67.151772,84.038782,1.016616
2269090.500000,68.105070,84.992118,1.016660
2269091.500000,69.058210,85.945296,1.016699
2269092.500000,70.011216,86.898341,1.016735
2269093.500000,70.964116,87.851279,1.016767
2269094.500000,71.916934,88.804135,1.016796
2269095.500000,72.869692,89.756931,1.016821
2269096.500000,73.822411,90.709688,1.016843
2269097.500000,74.775107,91.662423,1.016861
2269098.500000,75.727803,92.615156,1.016877
2269099.500000,76.680519,93.567911,1.016888
2269100.500000,77.633283,94.520712,1.016896
2269101.500000,78.586116,95.473584,1.016899
2269102.500000,79.539039,96.426545,1.016898
2269103.500000,80.492067,97.379611,1.016891
2269104.500000,81.445207,98.332790,1.016880
2269105.500000,82.398464,99.286085,1.016863
2269106.500000,83.351837,100.239496,1.016840
2269107.500000,84.305321,101.193018,1.016812
2269108.500000,85.258912,102.146646,1.016777
2269109.500000,86.212600,103.100373,1.016737
2269110.500000,87.166378,104.054190,1.016691
2269111.500000,88.120239,105.008089,1.016638
2269112.500000,89.074175,105.962062,1.016580
2269113.500000,90.028179,106.916105,1.016516
2269114.500000,90.982247,107.870211,1.016446
2269115.500000,91.936376,108.824378,1.016370
2269116.500000,92.890569,109.778609,1.016289
2269117.500000,93.844829,110.732907,1.016203
2269118.500000,94.799166,111.687282,1.016112
2269119.500000,95.753593,112.641747,1.016016
2269120.500000,96.708127,113.596320,1.015917
2269121.500000,97.662787,114.551018,1.015814
2269122.500000,98.617591,115.505860,1.015707
2269123.500000,99.572556,116.460863,1.015597
2269124.500000,100.527698,117.416044,1.015484
2269125.500000,101.483036,118.371420,1.015369
2269126.500000,102.438594,119.327016,1.015250
2269127.500000,103.394399,120.282859,1.015128
2269128.500000,104.350483,121.238980,1.015003
2269129.500000,105.306873,122.195409,1.014875
2269130.500000,106.263595,123.152169,1.014743
2269131.500000,107.220667,124.109280,1.014608
2269132.500000,108.178101,125.066751,1.014468
2269133.500000,109.135901,126.024590,1.014323
2269134.500000,110.094070,126.982797,1.014174
2269135.500000,111.052604,127.941369,1.014020
2269136.500000,112.011497,128.900300,1.013862
2269137.500000,112.970744,129.859585,1.013698
2269138.500000,113.930337,130.819216,1.013529
2269139.500000,114.890267,131.779184,1.013355
2269140.500000,115.850526,132.739482,1.013176
2269141.500000,116.811108,133.700102,1.012992
2269142.500000,117.772005,134.661037,1.012803
2269143.500000,118.733214,135.622284,1.012609
2269144.500000,119.694732,136.583840,1.012410
2269145.500000,120.656558,137.545705,1.012207
2269146.500000,121.618696,138.507880,1.012000
2269147.500000,122.581149,139.470371,1.011789
2269148.500000,123.543924,140.433185,1.011575
2269149.500000,124.507029,141.396328,1.011357
2269150.500000,125.470472,142.359810,1.011137
2269151.500000,126.434263,143.323639,1.010915
2269152.500000,127.398414,144.287827,1.010691
2269153.500000,128.362941,145.252392,1.010465
2269154.500000,129.327868,146.217358,1.010238
2269155.500000,130.293225,147.182753,1.010009
2269156.500000,131.259045,148.148611,1.009779
2269157.500000,132.225358,149.114962,1.009547
2269158.500000,133.192191,150.081833,1.009313
2269159.500000,134.159562,151.049242,1.009077
2269160.500000,135.127484,152.017202,1.008839
2269161.500000,136.095963,152.985720,1.008598
2269162.500000,137.065002,153.954797,1.008355
2269163.500000,138.034599,154.924432,1.008109
2269164.500000,139.004748,155.894619,1.007860
2269165.500000,139.975443,156.865353,1.007608
2269166.500000,140.946678,157.836626,1.007353
2269167.500000,141.918444,158.808429,1.007094
2269168.500000,142.890732,159.780756,1.006833
2269169.500000,143.863535,160.753597,1.006568
2269170.500000,144.836844,161.726944,1.006300
2269171.500000,145.810652,162.700790,1.006028
2269172.500000,146.784953,163.675130,1.005754
2269173.500000,147.759741,164.649955,1.005476
2269174.500000,148.735008,165.625261,1.005196
2269175.500000,149.710750,166.601041,1.004914
2269176.500000,150.686960,167.577289,1.004629
2269177.500000,151.663633,168.554000,1.004344
2269178.500000,152.640766,169.531171,1.004057
2269179.500000,153.618358,170.508802,1.003769
2269180.500000,154.596417,171.486898,1.003482
