jd,theta_na,theta_sa,r
2280334.651420,352.058189,9.374237,1.001080
2280335.651420,353.041611,10.357697,1.001366
2280336.651420,354.024418,11.340542,1.001649
2280337.651420,355.006594,12.322756,1.001931
2280338.651420,355.988123,13.304324,1.002212
2280339.651420,356.968997,14.285235,1.002492
2280340.651420,357.949211,15.265488,1.002772
2280341.651420,358.928772,16.245086,1.003051
2280342.651420,359.907690,17.224043,1.003329
2280343.651420,0.885986,18.202377,1.003608
2280344.651420,1.863684,19.180113,1.003887
2280345.651420,2.840808,20.157276,1.004166
2280346.651420,3.817385,21.133890,1.004445
2280347.651420,4.793436,22.109979,1.004724
2280348.651420,5.768980,23.085562,1.005003
2280349.651420,6.744034,24.060654,1.005282
2280350.651420,7.718609,25.035267,1.005559
2280351.651420,8.692715,26.009411,1.005836
2280352.651420,9.666359,26.983094,1.006112
2280353.651420,10.639549,27.956321,1.006386
2280354.651420,11.612288,28.929098,1.006659
2280355.651420,12.584581,29.901430,1.006929
2280356.651420,13.556430,30.873317,1.007197
2280357.651420,14.527837,31.844762,1.007462
2280358.651420,15.498802,32.815766,1.007724
2280359.651420,16.469324,33.786325,1.007983
2280360.651420,17.439399,34.756438,1.008238
2280361.651420,18.409020,35.726098,1.008489
2280362.651420,19.378180,36.695296,1.008737
2280363.651420,20.346863,37.664018,1.008980
2280364.651420,21.315053,38.632246,1.009219
2280365.651420,22.282730,39.599961,1.009454
2280366.651420,23.249877,40.567145,1.009685
2280367.651420,24.216481,41.533788,1.009913
2280368.651420,25.182540,42.499885,1.010138
2280369.651420,26.148058,43.465441,1.010360
2280370.651420,27.113049,44.430470,1.010579
2280371.651420,28.077531,45.394991,1.010795
2280372.651420,29.041530,46.359027,1.011010
2280373.651420,30.005069,47.322605,1.011222
2280374.651420,30.968176,48.285750,1.011432
2280375.651420,31.930873,49.248485,1.011640
2280376.651420,32.893184,50.210834,1.011847
2280377.651420,33.855126,51.172815,1.012050
2280378.651420,34.816718,52.134445,1.012252
2280379.651420,35.777975,53.095739,1.012451
2280380.651420,36.738910,54.056713,1.012647
2280381.651420,37.699538,55.017379,1.012840
2280382.651420,38.659870,55.977749,1.013031
2280383.651420,39.619919,56.937837,1.013217
2280384.651420,40.579697,57.897653,1.013400
2280385.651420,41.539215,58.857208,1.013579
2280386.651420,42.498480,59.816512,1.013754
2280387.651420,43.457500,60.775570,1.013924
2280388.651420,44.416278,61.734386,1.014088
2280389.651420,45.374815,62.692961,1.014248
2280390.651420,46.333104,63.651288,1.014402
2280391.651420,47.291132,64.609355,1.014550
2280392.651420,48.248883,65.567144,1.014692
2280393.651420,49.206334,66.524633,1.014829
2280394.651420,50.163468,67.481805,1.014961
2280395.651420,51.120271,68.438646,1.015086
2280396.651420,52.076737,69.395151,1.015207
2280397.651420,53.032872,70.351324,1.015323
2280398.651420,53.988687,71.307177,1.015435
2280399.651420,54.944199,72.262727,1.015542
2280400.651420,55.899428,73.217994,1.015646
2280401.651420,56.854397,74.173002,1.015746
2280402.651420,57.809130,75.127772,1.015842
2280403.651420,58.763648,76.082329,1.015935
2280404.651420,59.717975,77.036693,1.016024
2280405.651420,60.672129,77.990886,1.016110
2280406.651420,61.626131,78.944926,1.016193
2280407.651420,62.579998,79.898831,1.016272
2280408.651420,63.533749,80.852621,1.016348
2280409.651420,64.487402,81.806312,1.016420
2280410.651420,65.440975,82.759923,1.016489
2280411.651420,66.394487,83.713473,1.016553
2280412.651420,67.347956,84.666980,1.016613
2280413.651420,68.301400,85.620462,1.016668
2280414.651420,69.254835,86.573935,1.016719
2280415.651420,70.208275,87.527414,1.016765
2280416.651420,71.161730,88.480906,1.016805
2280417.651420,72.115203,89.434418,1.016839
2280418.651420,73.068693,90.387946,1.016868
2280419.651420,74.022188,91.341479,1.016890
2280420.651420,74.975670,92.294999,1.016905
2280421.651420,75.929120,93.248487,1.016915
2280422.651420,76.882516,94.201921,1.016918
2280423.651420,77.835845,95.155289,1.016915
2280424.651420,78.789102,96.108584,1.016905
2280425.651420,79.742287,97.061807,1.016891
2280426.651420,80.695409,98.014967,1.016871
2280427.651420,81.648479,98.968076,1.016846
2280428.651420,82.601514,99.921148,1.016816
2280429.651420,83.554529,100.874201,1.016782
2280430.651420,84.507543,101.827253,1.016743
2280431.651420,85.460575,102.780324,1.016701
2280432.651420,86.413644,103.733431,1.016655
2280433.651420,87.366768,104.686593,1.016606
2280434.651420,88.319966,105.639830,1.016552
2280435.651420,89.273257,106.593158,1.016496
2280436.651420,90.226659,107.546599,1.016435
2280437.651420,91.180193,108.500171,1.016372
2280438.651420,92.133880,109.453896,1.016304
2280439.651420,93.087743,110.407797,1.016233
2280440.651420,94.041805,111.361897,1.016158
2280441.651420,94.996089,112.316219,1.016080
2280442.651420,95.950616,113.270784,1.015997
2280443.651420,96.905404,114.225611,1.015909
