theta_na,r
58.681328,1.015838
59.636516,1.015937
60.591582,1.016030
61.546525,1.016117
62.501336,1.016199
63.456012,1.016275
64.410542,1.016345
65.364919,1.016409
66.319135,1.016467
67.273183,1.016519
68.227057,1.016566
69.180755,1.016608
70.134282,1.016644
71.087645,1.016676
72.040859,1.016703
72.993946,1.016726
73.946929,1.016745
74.899834,1.016760
75.852684,1.016772
76.805502,1.016781
77.758306,1.016787
78.711116,1.016789
79.663955,1.016788
80.616848,1.016783
81.569818,1.016774
82.522889,1.016760
83.476078,1.016743
84.429398,1.016720
85.382857,1.016692
86.336461,1.016659
87.290209,1.016621
88.244101,1.016577
89.198131,1.016527
90.152294,1.016471
91.106583,1.016409
92.060990,1.016341
93.015505,1.016267
93.970120,1.016188
94.924829,1.016102
95.879629,1.016011
96.834520,1.015915
97.789505,1.015813
98.744595,1.015707
99.699802,1.015597
100.655141,1.015482
101.610631,1.015364
102.566288,1.015243
103.522129,1.015119
104.478170,1.014991
105.434435,1.014861
106.390948,1.014728
107.347738,1.014593
108.304835,1.014454
109.262263,1.014311
110.220047,1.014166
111.178201,1.014016
112.136736,1.013863
113.095661,1.013706
114.054976,1.013544
115.014681,1.013377
115.974774,1.013206
116.935250,1.013030
117.896101,1.012850
118.857319,1.012664
119.818895,1.012473
120.780820,1.012278
121.743087,1.012077
122.705690,1.011872
123.668624,1.011662
124.631889,1.011448
125.595485,1.011230
126.559416,1.011008
127.523687,1.010783
128.488303,1.010556
129.453271,1.010326
130.418603,1.010094
131.384311,1.009860
132.350417,1.009625
133.316946,1.009389
134.283928,1.009151
135.251391,1.008912
136.219364,1.008671
137.187869,1.008429
138.156923,1.008185
139.126538,1.007939
140.096722,1.007690
141.067477,1.007440
142.038805,1.007187
143.010701,1.006932
143.983163,1.006673
144.956183,1.006412
145.929754,1.006148
146.903865,1.005881
147.878509,1.005611
148.853675,1.005338
149.829355,1.005062
150.805541,1.004783
151.782226,1.004501
152.759400,1.004217
153.737054,1.003931
154.715181,1.003643
155.693773,1.003354
156.672826,1.003064
157.652344,1.002774
158.632334,1.002484
159.612814,1.002194
160.593805,1.001905
161.575333,1.001617
162.557425,1.001330
163.540106,1.001043
164.523396,1.000757
165.507311,1.000472
166.491861,1.000188
167.477052,0.999904
168.462887,0.999620
169.449368,0.999337
170.436490,0.999054
171.424250,0.998771
172.412642,0.998487
173.401658,0.998204
174.391289,0.997919
175.381527,0.997634
176.372359,0.997349
177.363776,0.997063
178.355765,0.996776
179.348311,0.996488
180.341396,0.996201
181.334998,0.995913
182.329094,0.995625
183.323665,0.995339
184.318696,0.995053
185.314181,0.994769
186.310121,0.994487
187.306526,0.994208
188.303412,0.993931
189.300798,0.993657
190.298705,0.993386
191.297150,0.993119
192.296150,0.992855
193.295717,0.992594
194.295857,0.992336
195.296574,0.992082
196.297871,0.991831
