jul_day,true_long (na),true_long (sa),ayanamsha
2086026.357594,0.000000,9.919025,9.919025
2086034.357594,7.803496,17.722825,9.919329
2086042.357594,15.572495,25.492127,9.919633
2086050.357594,23.313943,33.233879,9.919936
2086058.357594,31.026945,40.947185,9.920240
2086057.290535,30.000000,39.920200,9.920200
2086065.290535,37.687021,47.607525,9.920504
2086073.290535,45.352605,55.273412,9.920807
2086081.290535,53.004050,62.925161,9.921111
2086089.290535,60.640207,70.561622,9.921415
2086088.619173,60.000000,69.921390,9.921390
2086096.619173,67.624216,77.545910,9.921693
2086104.619173,75.244955,85.166952,9.921997
2086112.619173,82.868963,92.791264,9.922301
2086120.619173,90.493983,100.416588,9.922605
2086120.101010,90.000000,99.922585,9.922585
2086128.101010,97.630989,107.553878,9.922889
2086136.101010,105.278006,115.201199,9.923193
2086144.101010,112.944417,122.867913,9.923497
2086152.101010,120.628636,130.552436,9.923801
2086151.447352,120.000000,129.923776,9.923776
2086159.447352,127.705768,137.629847,9.924080
2086167.447352,135.444075,145.368458,9.924383
2086175.447352,143.213531,153.138218,9.924687
2086183.447352,151.012949,160.937940,9.924991
2086182.410187,150.000000,159.924952,9.924952
2086190.410187,157.829989,167.755245,9.925255
2086198.410187,165.700808,175.626367,9.925559
2086206.410187,173.607908,183.533772,9.925863
2086214.410187,181.548233,191.474400,9.926167
2086212.853089,180.000000,189.926108,9.926108
2086220.853089,187.970828,197.897240,9.926412
2086228.853089,195.980560,205.907275,9.926715
2086236.853089,204.022104,213.949124,9.927019
2086244.853089,212.090088,222.017411,9.927323
2086242.783329,210.000000,219.927245,9.927245
2086250.783329,218.089783,228.017331,9.927548
2086258.783329,226.206940,236.134792,9.927852
2086266.783329,234.341821,244.269977,9.928156
2086274.783329,242.487575,252.416035,9.928460
2086272.341508,240.000000,249.928367,9.928367
2086280.341508,248.154025,258.082696,9.928671
2086288.341508,256.317123,266.246097,9.928975
2086296.341508,264.478198,274.407476,9.929279
2086304.341508,272.630069,282.559652,9.929582
2086301.759446,270.000000,279.929484,9.929484
2086309.759446,278.145926,288.075714,9.929788
2086317.759446,286.281049,296.211141,9.930092
2086325.759446,294.394809,304.325205,9.930396
2086333.759446,302.480952,312.411652,9.930700
2086331.302043,300.000000,309.930606,9.930606
2086339.302043,308.068195,317.999105,9.930910
2086347.302043,316.109999,326.041213,9.931214
2086355.302043,324.117158,334.048676,9.931518
2086363.302043,332.085373,342.017194,9.931822
2086361.204801,330.000000,339.931742,9.931742
2086369.204801,337.942782,347.874828,9.932046
2086377.204801,345.852100,355.784450,9.932350
2086385.204801,353.722686,3.655340,9.932654
2086393.204801,1.553005,11.485962,9.932957
