Name, Date and Time, RA (J2000), Dec (J2000), Mag., Phase, "Dist., AU", Elong.
Vigorous (Sun), 2030-02-13 04:39:00,   21h44m42.7s, -13°33'58.6", -26.77, —, 0.987270, —
Vigorous (Sun), 2030-02-14 04:39:00,   21h48m37.9s, -13°13'49.8", -26.77, —, 0.987455, —
Vigorous (Sun), 2030-02-15 04:39:00,   21h52m32.3s, -12°53'28.2", -26.77, —, 0.987644, —
Vigorous (Sun), 2030-02-16 04:39:00,   21h56m26.0s, -12°32'54.1", -26.77, —, 0.987837, —
Vigorous (Sun), 2030-02-17 04:39:00,   22h00m18.9s, -12°12'07.9", -26.77, —, 0.988036, —
Vigorous (Sun), 2030-02-18 04:39:00,   22h04m11.2s, -11°51'10.1", -26.77, —, 0.988239, —
Vigorous (Sun), 2030-02-19 04:39:00,   22h08m02.7s, -11°30'01.0", -26.77, —, 0.988447, —
Vigorous (Sun), 2030-02-20 04:39:00,   22h11m53.6s, -11°08'41.0", -26.77, —, 0.988661, —
Vigorous (Sun), 2030-02-21 04:39:00,   22h15m43.8s, -10°47'10.4", -26.77, —, 0.988879, —
Vigorous (Sun), 2030-02-22 04:39:00,   22h19m33.4s, -10°25'29.8", -26.77, —, 0.989101, —
Vigorous (Sun), 2030-02-23 04:39:00,   22h23m22.3s, -10°03'39.4", -26.77, —, 0.989328, —
Vigorous (Sun), 2030-02-24 04:39:00,   22h27m10.7s, -9°41'39.7", -26.76, —, 0.989559, —
Vigorous (Sun), 2030-02-25 04:39:00,   22h30m58.4s, -9°19'31.0", -26.76, —, 0.989793, —
Vigorous (Sun), 2030-02-26 04:39:00,   22h34m45.6s, -8°57'13.8", -26.76, —, 0.990030, —
Vigorous (Sun), 2030-02-27 04:39:00,   22h38m32.2s, -8°34'48.5", -26.76, —, 0.990270, —
Vigorous (Sun), 2030-02-28 04:39:00,   22h42m18.4s, -8°12'15.4", -26.76, —, 0.990512, —
Vigorous (Sun), 2030-03-01 04:39:00,   22h46m03.9s, -7°49'35.1", -26.76, —, 0.990756, —
Vigorous (Sun), 2030-03-02 04:39:00,   22h49m49.0s, -7°26'47.9", -26.76, —, 0.991002, —
Vigorous (Sun), 2030-03-03 04:39:00,   22h53m33.6s, -7°03'54.3", -26.76, —, 0.991249, —
Vigorous (Sun), 2030-03-04 04:39:00,   22h57m17.7s, -6°40'54.6", -26.76, —, 0.991497, —
Vigorous (Sun), 2030-03-05 04:39:00,   23h01m01.4s, -6°17'49.4", -26.76, —, 0.991747, —
Vigorous (Sun), 2030-03-06 04:39:00,   23h04m44.6s, -5°54'38.9", -26.76, —, 0.991997, —
Vigorous (Sun), 2030-03-07 04:39:00,   23h08m27.3s, -5°31'23.7", -26.76, —, 0.992249, —
Vigorous (Sun), 2030-03-08 04:39:00,   23h12m09.7s, -5°08'04.1", -26.76, —, 0.992502, —
Vigorous (Sun), 2030-03-09 04:39:00,   23h15m51.6s, -4°44'40.5", -26.76, —, 0.992756, —
Vigorous (Sun), 2030-03-10 04:39:00,   23h19m33.2s, -4°21'13.3", -26.76, —, 0.993012, —
Vigorous (Sun), 2030-03-11 04:39:00,   23h23m14.4s, -3°57'42.9", -26.76, —, 0.993269, —
Vigorous (Sun), 2030-03-12 04:39:00,   23h26m55.3s, -3°34'09.7", -26.76, —, 0.993528, —
Vigorous (Sun), 2030-03-13 04:39:00,   23h30m35.9s, -3°10'34.1", -26.76, —, 0.993788, —
Vigorous (Sun), 2030-03-14 04:39:00,   23h34m16.1s, -2°46'56.4", -26.76, —, 0.994051, —
Vigorous (Sun), 2030-03-15 04:39:00,   23h37m56.1s, -2°23'17.0", -26.75, —, 0.994315, —
Vigorous (Sun), 2030-03-16 04:39:00,   23h41m35.8s, -1°59'36.2", -26.75, —, 0.994582, —
Vigorous (Sun), 2030-03-17 04:39:00,   23h45m15.3s, -1°35'54.5", -26.75, —, 0.994851, —
Vigorous (Sun), 2030-03-18 04:39:00,   23h48m54.5s, -1°12'12.2", -26.75, —, 0.995123, —
Vigorous (Sun), 2030-03-19 04:39:00,   23h52m33.6s, -0°48'29.6", -26.75, —, 0.995398, —
Vigorous (Sun), 2030-03-20 04:39:00,   23h56m12.4s, -0°24'47.0", -26.75, —, 0.995675, —
