Name, Date and Time, RA (J2000), Dec (J2000), Mag., Phase, "Dist., AU", Elong.
Vigorous (Sun), 2023-01-01 00:00:00,   18h42m21.1s, -23°04'44.5", -26.78, —, 0.983384, —
Vigorous (Sun), 2023-01-02 00:00:00,   18h46m46.1s, -23°00'02.5", -26.78, —, 0.983364, —
Vigorous (Sun), 2023-01-03 00:00:00,   18h51m10.7s, -22°54'53.0", -26.78, —, 0.983349, —
Vigorous (Sun), 2023-01-04 00:00:00,   18h55m35.0s, -22°49'16.2", -26.78, —, 0.983340, —
Vigorous (Sun), 2023-01-05 00:00:00,   18h59m58.9s, -22°43'12.2", -26.78, —, 0.983338, —
Vigorous (Sun), 2023-01-06 00:00:00,   19h04m22.3s, -22°36'41.2", -26.78, —, 0.983341, —
Vigorous (Sun), 2023-01-07 00:00:00,   19h08m45.4s, -22°29'43.4", -26.78, —, 0.983351, —
Vigorous (Sun), 2023-01-08 00:00:00,   19h13m08.0s, -22°22'19.1", -26.78, —, 0.983368, —
Vigorous (Sun), 2023-01-09 00:00:00,   19h17m30.0s, -22°14'28.3", -26.78, —, 0.983390, —
Vigorous (Sun), 2023-01-10 00:00:00,   19h21m51.6s, -22°06'11.4", -26.78, —, 0.983419, —
Vigorous (Sun), 2023-01-11 00:00:00,   19h26m12.7s, -21°57'28.5", -26.78, —, 0.983454, —
Vigorous (Sun), 2023-01-12 00:00:00,   19h30m33.2s, -21°48'20.0", -26.78, —, 0.983495, —
Vigorous (Sun), 2023-01-13 00:00:00,   19h34m53.1s, -21°38'46.0", -26.78, —, 0.983542, —
Vigorous (Sun), 2023-01-14 00:00:00,   19h39m12.4s, -21°28'46.9", -26.78, —, 0.983594, —
Vigorous (Sun), 2023-01-15 00:00:00,   19h43m31.1s, -21°18'22.8", -26.78, —, 0.983652, —
Vigorous (Sun), 2023-01-16 00:00:00,   19h47m49.2s, -21°07'34.2", -26.78, —, 0.983715, —
Vigorous (Sun), 2023-01-17 00:00:00,   19h52m06.7s, -20°56'21.1", -26.78, —, 0.983782, —
Vigorous (Sun), 2023-01-18 00:00:00,   19h56m23.4s, -20°44'44.1", -26.78, —, 0.983854, —
Vigorous (Sun), 2023-01-19 00:00:00,   20h00m39.5s, -20°32'43.3", -26.78, —, 0.983931, —
Vigorous (Sun), 2023-01-20 00:00:00,   20h04m54.9s, -20°20'19.1", -26.78, —, 0.984011, —
Vigorous (Sun), 2023-01-21 00:00:00,   20h09m09.6s, -20°07'31.9", -26.78, —, 0.984094, —
Vigorous (Sun), 2023-01-22 00:00:00,   20h13m23.5s, -19°54'21.9", -26.78, —, 0.984181, —
Vigorous (Sun), 2023-01-23 00:00:00,   20h17m36.7s, -19°40'49.6", -26.78, —, 0.984272, —
Vigorous (Sun), 2023-01-24 00:00:00,   20h21m49.1s, -19°26'55.4", -26.78, —, 0.984365, —
Vigorous (Sun), 2023-01-25 00:00:00,   20h26m00.7s, -19°12'39.6", -26.78, —, 0.984462, —
Vigorous (Sun), 2023-01-26 00:00:00,   20h30m11.5s, -18°58'02.6", -26.78, —, 0.984562, —
Vigorous (Sun), 2023-01-27 00:00:00,   20h34m21.5s, -18°43'04.8", -26.78, —, 0.984666, —
Vigorous (Sun), 2023-01-28 00:00:00,   20h38m30.6s, -18°27'46.6", -26.78, —, 0.984775, —
Vigorous (Sun), 2023-01-29 00:00:00,   20h42m39.0s, -18°12'08.4", -26.78, —, 0.984887, —
Vigorous (Sun), 2023-01-30 00:00:00,   20h46m46.5s, -17°56'10.7", -26.77, —, 0.985005, —
Vigorous (Sun), 2023-01-31 00:00:00,   20h50m53.2s, -17°39'53.7", -26.77, —, 0.985127, —
Vigorous (Sun), 2023-02-01 00:00:00,   20h54m59.0s, -17°23'18.0", -26.77, —, 0.985254, —
Vigorous (Sun), 2023-02-02 00:00:00,   20h59m04.0s, -17°06'23.9", -26.77, —, 0.985387, —
Vigorous (Sun), 2023-02-03 00:00:00,   21h03m08.2s, -16°49'11.8", -26.77, —, 0.985525, —
Vigorous (Sun), 2023-02-04 00:00:00,   21h07m11.6s, -16°31'42.2", -26.77, —, 0.985668, —
Vigorous (Sun), 2023-02-05 00:00:00,   21h11m14.1s, -16°13'55.3", -26.77, —, 0.985817, —
Vigorous (Sun), 2023-02-06 00:00:00,   21h15m15.8s, -15°55'51.6", -26.77, —, 0.985971, —
Vigorous (Sun), 2023-02-07 00:00:00,   21h19m16.8s, -15°37'31.6", -26.77, —, 0.986131, —
Vigorous (Sun), 2023-02-08 00:00:00,   21h23m16.9s, -15°18'55.5", -26.77, —, 0.986296, —
Vigorous (Sun), 2023-02-09 00:00:00,   21h27m16.2s, -15°00'03.9", -26.77, —, 0.986467, —
Vigorous (Sun), 2023-02-10 00:00:00,   21h31m14.8s, -14°40'57.0", -26.77, —, 0.986642, —
Vigorous (Sun), 2023-02-11 00:00:00,   21h35m12.6s, -14°21'35.4", -26.77, —, 0.986823, —
Vigorous (Sun), 2023-02-12 00:00:00,   21h39m09.6s, -14°01'59.3", -26.77, —, 0.987008, —
Vigorous (Sun), 2023-02-13 00:00:00,   21h43m05.9s, -13°42'09.2", -26.77, —, 0.987198, —
Vigorous (Sun), 2023-02-14 00:00:00,   21h47m01.4s, -13°22'05.5", -26.77, —, 0.987392, —
Vigorous (Sun), 2023-02-15 00:00:00,   21h50m56.3s, -13°01'48.5", -26.77, —, 0.987590, —
Vigorous (Sun), 2023-02-16 00:00:00,   21h54m50.4s, -12°41'18.8", -26.77, —, 0.987791, —
Vigorous (Sun), 2023-02-17 00:00:00,   21h58m43.8s, -12°20'36.6", -26.77, —, 0.987995, —
Vigorous (Sun), 2023-02-18 00:00:00,   22h02m36.5s, -11°59'42.5", -26.77, —, 0.988202, —
Vigorous (Sun), 2023-02-19 00:00:00,   22h06m28.5s, -11°38'36.8", -26.77, —, 0.988411, —
Vigorous (Sun), 2023-02-20 00:00:00,   22h10m19.8s, -11°17'20.0", -26.77, —, 0.988622, —
Vigorous (Sun), 2023-02-21 00:00:00,   22h14m10.5s, -10°55'52.5", -26.77, —, 0.988834, —
Vigorous (Sun), 2023-02-22 00:00:00,   22h18m00.5s, -10°34'14.8", -26.77, —, 0.989049, —
Vigorous (Sun), 2023-02-23 00:00:00,   22h21m49.8s, -10°12'27.3", -26.77, —, 0.989265, —
Vigorous (Sun), 2023-02-24 00:00:00,   22h25m38.5s, -9°50'30.5", -26.77, —, 0.989484, —
Vigorous (Sun), 2023-02-25 00:00:00,   22h29m26.6s, -9°28'24.8", -26.76, —, 0.989704, —
Vigorous (Sun), 2023-02-26 00:00:00,   22h33m14.1s, -9°06'10.5", -26.76, —, 0.989927, —
Vigorous (Sun), 2023-02-27 00:00:00,   22h37m01.0s, -8°43'48.3", -26.76, —, 0.990153, —
Vigorous (Sun), 2023-02-28 00:00:00,   22h40m47.3s, -8°21'18.3", -26.76, —, 0.990381, —
Vigorous (Sun), 2023-03-01 00:00:00,   22h44m33.1s, -7°58'41.1", -26.76, —, 0.990612, —
Vigorous (Sun), 2023-03-02 00:00:00,   22h48m18.3s, -7°35'57.1", -26.76, —, 0.990847, —
Vigorous (Sun), 2023-03-03 00:00:00,   22h52m02.9s, -7°13'06.6", -26.76, —, 0.991084, —
Vigorous (Sun), 2023-03-04 00:00:00,   22h55m47.1s, -6°50'10.1", -26.76, —, 0.991326, —
Vigorous (Sun), 2023-03-05 00:00:00,   22h59m30.8s, -6°27'07.9", -26.76, —, 0.991570, —
Vigorous (Sun), 2023-03-06 00:00:00,   23h03m14.1s, -6°04'00.3", -26.76, —, 0.991818, —
Vigorous (Sun), 2023-03-07 00:00:00,   23h06m56.9s, -5°40'47.8", -26.76, —, 0.992070, —
Vigorous (Sun), 2023-03-08 00:00:00,   23h10m39.3s, -5°17'30.8", -26.76, —, 0.992325, —
Vigorous (Sun), 2023-03-09 00:00:00,   23h14m21.2s, -4°54'09.5", -26.76, —, 0.992584, —
Vigorous (Sun), 2023-03-10 00:00:00,   23h18m02.9s, -4°30'44.4", -26.76, —, 0.992846, —
Vigorous (Sun), 2023-03-11 00:00:00,   23h21m44.2s, -4°07'15.8", -26.76, —, 0.993112, —
Vigorous (Sun), 2023-03-12 00:00:00,   23h25m25.1s, -3°43'44.0", -26.76, —, 0.993380, —
Vigorous (Sun), 2023-03-13 00:00:00,   23h29m05.8s, -3°20'09.5", -26.76, —, 0.993651, —
Vigorous (Sun), 2023-03-14 00:00:00,   23h32m46.1s, -2°56'32.6", -26.76, —, 0.993925, —
Vigorous (Sun), 2023-03-15 00:00:00,   23h36m26.2s, -2°32'53.5", -26.75, —, 0.994201, —
Vigorous (Sun), 2023-03-16 00:00:00,   23h40m06.1s, -2°09'12.8", -26.75, —, 0.994479, —
Vigorous (Sun), 2023-03-17 00:00:00,   23h43m45.8s, -1°45'30.7", -26.75, —, 0.994759, —
Vigorous (Sun), 2023-03-18 00:00:00,   23h47m25.3s, -1°21'47.6", -26.75, —, 0.995039, —
Vigorous (Sun), 2023-03-19 00:00:00,   23h51m04.5s, -0°58'03.9", -26.75, —, 0.995320, —
Vigorous (Sun), 2023-03-20 00:00:00,   23h54m43.7s, -0°34'20.0", -26.75, —, 0.995600, —
Vigorous (Sun), 2023-03-21 00:00:00,   23h58m22.7s, -0°10'36.3", -26.75, —, 0.995881, —
Vigorous (Sun), 2023-03-22 00:00:00,    0h02m01.5s, +0°13'06.8", -26.75, —, 0.996162, —
Vigorous (Sun), 2023-03-23 00:00:00,    0h05m40.3s, +0°36'49.0", -26.75, —, 0.996442, —
Vigorous (Sun), 2023-03-24 00:00:00,    0h09m18.9s, +1°00'29.7", -26.75, —, 0.996721, —
Vigorous (Sun), 2023-03-25 00:00:00,    0h12m57.5s, +1°24'08.7", -26.75, —, 0.997000, —
Vigorous (Sun), 2023-03-26 00:00:00,    0h16m36.0s, +1°47'45.5", -26.75, —, 0.997279, —
Vigorous (Sun), 2023-03-27 00:00:00,    0h20m14.5s, +2°11'19.8", -26.75, —, 0.997558, —
Vigorous (Sun), 2023-03-28 00:00:00,    0h23m52.9s, +2°34'51.2", -26.75, —, 0.997837, —
Vigorous (Sun), 2023-03-29 00:00:00,    0h27m31.3s, +2°58'19.3", -26.75, —, 0.998116, —
Vigorous (Sun), 2023-03-30 00:00:00,    0h31m09.8s, +3°21'43.7", -26.75, —, 0.998395, —
Vigorous (Sun), 2023-03-31 00:00:00,    0h34m48.3s, +3°45'04.2", -26.75, —, 0.998675, —
Vigorous (Sun), 2023-04-01 00:00:00,    0h38m26.8s, +4°08'20.4", -26.74, —, 0.998956, —
Vigorous (Sun), 2023-04-02 00:00:00,    0h42m05.4s, +4°31'31.9", -26.74, —, 0.999238, —
Vigorous (Sun), 2023-04-03 00:00:00,    0h45m44.1s, +4°54'38.4", -26.74, —, 0.999520, —
Vigorous (Sun), 2023-04-04 00:00:00,    0h49m22.9s, +5°17'39.6", -26.74, —, 0.999804, —
Vigorous (Sun), 2023-04-05 00:00:00,    0h53m01.9s, +5°40'35.1", -26.74, —, 1.000089, —
Vigorous (Sun), 2023-04-06 00:00:00,    0h56m41.0s, +6°03'24.6", -26.74, —, 1.000375, —
Vigorous (Sun), 2023-04-07 00:00:00,    1h00m20.3s, +6°26'07.8", -26.74, —, 1.000662, —
Vigorous (Sun), 2023-04-08 00:00:00,    1h03m59.8s, +6°48'44.4", -26.74, —, 1.000950, —
Vigorous (Sun), 2023-04-09 00:00:00,    1h07m39.5s, +7°11'14.0", -26.74, —, 1.001239, —
Vigorous (Sun), 2023-04-10 00:00:00,    1h11m19.5s, +7°33'36.4", -26.74, —, 1.001529, —
Vigorous (Sun), 2023-04-11 00:00:00,    1h14m59.8s, +7°55'51.3", -26.74, —, 1.001819, —
Vigorous (Sun), 2023-04-12 00:00:00,    1h18m40.3s, +8°17'58.2", -26.74, —, 1.002110, —
Vigorous (Sun), 2023-04-13 00:00:00,    1h22m21.1s, +8°39'57.0", -26.74, —, 1.002400, —
Vigorous (Sun), 2023-04-14 00:00:00,    1h26m02.3s, +9°01'47.2", -26.74, —, 1.002690, —
Vigorous (Sun), 2023-04-15 00:00:00,    1h29m43.8s, +9°23'28.5", -26.74, —, 1.002979, —
Vigorous (Sun), 2023-04-16 00:00:00,    1h33m25.6s, +9°45'00.7", -26.74, —, 1.003267, —
Vigorous (Sun), 2023-04-17 00:00:00,    1h37m07.8s, +10°06'23.2", -26.73, —, 1.003552, —
Vigorous (Sun), 2023-04-18 00:00:00,    1h40m50.4s, +10°27'35.9", -26.73, —, 1.003836, —
Vigorous (Sun), 2023-04-19 00:00:00,    1h44m33.4s, +10°48'38.2", -26.73, —, 1.004117, —
Vigorous (Sun), 2023-04-20 00:00:00,    1h48m16.8s, +11°09'29.9", -26.73, —, 1.004395, —
Vigorous (Sun), 2023-04-21 00:00:00,    1h52m00.6s, +11°30'10.6", -26.73, —, 1.004671, —
Vigorous (Sun), 2023-04-22 00:00:00,    1h55m44.8s, +11°50'39.9", -26.73, —, 1.004944, —
Vigorous (Sun), 2023-04-23 00:00:00,    1h59m29.5s, +12°10'57.4", -26.73, —, 1.005213, —
Vigorous (Sun), 2023-04-24 00:00:00,    2h03m14.6s, +12°31'02.8", -26.73, —, 1.005481, —
Vigorous (Sun), 2023-04-25 00:00:00,    2h07m00.1s, +12°50'55.8", -26.73, —, 1.005745, —
Vigorous (Sun), 2023-04-26 00:00:00,    2h10m46.1s, +13°10'36.0", -26.73, —, 1.006007, —
Vigorous (Sun), 2023-04-27 00:00:00,    2h14m32.6s, +13°30'03.0", -26.73, —, 1.006267, —
Vigorous (Sun), 2023-04-28 00:00:00,    2h18m19.5s, +13°49'16.7", -26.73, —, 1.006525, —
Vigorous (Sun), 2023-04-29 00:00:00,    2h22m07.0s, +14°08'16.5", -26.73, —, 1.006780, —
Vigorous (Sun), 2023-04-30 00:00:00,    2h25m54.9s, +14°27'02.3", -26.73, —, 1.007034, —
Vigorous (Sun), 2023-05-01 00:00:00,    2h29m43.3s, +14°45'33.6", -26.73, —, 1.007286, —
Vigorous (Sun), 2023-05-02 00:00:00,    2h33m32.3s, +15°03'50.3", -26.73, —, 1.007537, —
Vigorous (Sun), 2023-05-03 00:00:00,    2h37m21.7s, +15°21'51.9", -26.73, —, 1.007786, —
Vigorous (Sun), 2023-05-04 00:00:00,    2h41m11.7s, +15°39'38.2", -26.72, —, 1.008034, —
Vigorous (Sun), 2023-05-05 00:00:00,    2h45m02.3s, +15°57'08.9", -26.72, —, 1.008281, —
Vigorous (Sun), 2023-05-06 00:00:00,    2h48m53.4s, +16°14'23.8", -26.72, —, 1.008527, —
Vigorous (Sun), 2023-05-07 00:00:00,    2h52m45.0s, +16°31'22.4", -26.72, —, 1.008771, —
Vigorous (Sun), 2023-05-08 00:00:00,    2h56m37.2s, +16°48'04.6", -26.72, —, 1.009015, —
Vigorous (Sun), 2023-05-09 00:00:00,    3h00m30.0s, +17°04'30.1", -26.72, —, 1.009257, —
Vigorous (Sun), 2023-05-10 00:00:00,    3h04m23.4s, +17°20'38.6", -26.72, —, 1.009498, —
Vigorous (Sun), 2023-05-11 00:00:00,    3h08m17.4s, +17°36'29.7", -26.72, —, 1.009736, —
Vigorous (Sun), 2023-05-12 00:00:00,    3h12m11.9s, +17°52'03.3", -26.72, —, 1.009973, —
Vigorous (Sun), 2023-05-13 00:00:00,    3h16m07.0s, +18°07'19.0", -26.72, —, 1.010207, —
Vigorous (Sun), 2023-05-14 00:00:00,    3h20m02.8s, +18°22'16.6", -26.72, —, 1.010438, —
Vigorous (Sun), 2023-05-15 00:00:00,    3h23m59.1s, +18°36'55.7", -26.72, —, 1.010665, —
Vigorous (Sun), 2023-05-16 00:00:00,    3h27m56.0s, +18°51'16.0", -26.72, —, 1.010888, —
Vigorous (Sun), 2023-05-17 00:00:00,    3h31m53.5s, +19°05'17.2", -26.72, —, 1.011108, —
Vigorous (Sun), 2023-05-18 00:00:00,    3h35m51.6s, +19°18'59.1", -26.72, —, 1.011323, —
Vigorous (Sun), 2023-05-19 00:00:00,    3h39m50.2s, +19°32'21.3", -26.72, —, 1.011533, —
Vigorous (Sun), 2023-05-20 00:00:00,    3h43m49.4s, +19°45'23.6", -26.72, —, 1.011739, —
Vigorous (Sun), 2023-05-21 00:00:00,    3h47m49.2s, +19°58'05.7", -26.72, —, 1.011939, —
Vigorous (Sun), 2023-05-22 00:00:00,    3h51m49.4s, +20°10'27.3", -26.72, —, 1.012136, —
Vigorous (Sun), 2023-05-23 00:00:00,    3h55m50.2s, +20°22'28.1", -26.72, —, 1.012327, —
Vigorous (Sun), 2023-05-24 00:00:00,    3h59m51.6s, +20°34'07.9", -26.72, —, 1.012514, —
Vigorous (Sun), 2023-05-25 00:00:00,    4h03m53.4s, +20°45'26.4", -26.71, —, 1.012696, —
Vigorous (Sun), 2023-05-26 00:00:00,    4h07m55.7s, +20°56'23.4", -26.71, —, 1.012874, —
Vigorous (Sun), 2023-05-27 00:00:00,    4h11m58.5s, +21°06'58.7", -26.71, —, 1.013047, —
Vigorous (Sun), 2023-05-28 00:00:00,    4h16m01.7s, +21°17'12.1", -26.71, —, 1.013217, —
Vigorous (Sun), 2023-05-29 00:00:00,    4h20m05.4s, +21°27'03.3", -26.71, —, 1.013383, —
Vigorous (Sun), 2023-05-30 00:00:00,    4h24m09.6s, +21°36'32.2", -26.71, —, 1.013546, —
Vigorous (Sun), 2023-05-31 00:00:00,    4h28m14.2s, +21°45'38.5", -26.71, —, 1.013704, —
Vigorous (Sun), 2023-06-01 00:00:00,    4h32m19.1s, +21°54'22.1", -26.71, —, 1.013860, —
Vigorous (Sun), 2023-06-02 00:00:00,    4h36m24.5s, +22°02'42.8", -26.71, —, 1.014013, —
Vigorous (Sun), 2023-06-03 00:00:00,    4h40m30.3s, +22°10'40.4", -26.71, —, 1.014163, —
Vigorous (Sun), 2023-06-04 00:00:00,    4h44m36.4s, +22°18'14.9", -26.71, —, 1.014310, —
